text,label
"I absolutely love this product, it works perfectly!",Positive
"Best purchase I have ever made, totally worth it",Positive
"Amazing experience, the team was super helpful",Positive
"This made my day so much better, thank you",Positive
"Fantastic quality and fast shipping",Positive
"I'm so happy with the results, highly recommend",Positive
"Wonderful service and friendly staff",Positive
"Incredible app, easy to use and beautiful design",Positive
"Loved every minute of it, will come back",Positive
"Great value for the price, very satisfied",Positive
"Brilliant update, the new features are awesome",Positive
"Customer support was excellent and quick",Positive
"Five stars, exceeded my expectations completely",Positive
"Such a positive vibe, made me smile",Positive
"Everything works smoothly and looks gorgeous",Positive
"Terrible experience, I want my money back",Negative
"Worst app I have ever downloaded, full of bugs",Negative
"This is awful, completely disappointed",Negative
"Hate the new update, ruined everything",Negative
"Customer service was rude and unhelpful",Negative
"Broken on arrival, total waste of money",Negative
"Slow, buggy and crashes every time I open it",Negative
"Very poor quality, not worth a single dollar",Negative
"I'm so frustrated, nothing works as advertised",Negative
"Disgusting service, never coming back",Negative
"Useless product, threw it in the trash",Negative
"Annoying ads everywhere, terrible experience",Negative
"Feels cheap and falls apart immediately",Negative
"Horrible UI, impossible to navigate",Negative
"Regret buying this, complete scam",Negative
"The package arrived today",Neutral
"It is what it is, nothing special",Neutral
"I used the app for about ten minutes",Neutral
"They updated the website yesterday",Neutral
"Just a regular day, nothing happened",Neutral
"The meeting is scheduled for tomorrow",Neutral
"It works as described in the manual",Neutral
"This is the second version of the software",Neutral
"I received the email confirmation",Neutral
"The store opens at nine in the morning",Neutral
"The color is blue and the size is medium",Neutral
"I'm reading the documentation right now",Neutral
"The flight departs at noon",Neutral
"They released a new version last week",Neutral
"The report contains the quarterly numbers",Neutral
